prompt,tables_used,predicted_tables,schema_accuracy,schema_reduction
Can you tell me which faculty did the most research projects? I just need their name (nama) and the number of projects (total_proyek).,"['fakultas', 'proyekpenelitian']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.09090909090909094
I’m curious which lecturer guides the most students. Please show their name (nama) and how many students they supervise (total_mahasiswa_dibimbing).,"['mahasiswa', 'dosen']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'ujian', 'nilai', 'mahasiswa', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.13636363636363635
Which student joined the most sessions? I want to see their name (nama) and how many sessions they attended (total_kehadiran).,"['mahasiswa', 'catatankehadiran']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.045454545454545414
What are the top 5 most popular courses? Show me the course title (judul) and how many students joined (total_mahasiswa).,"['matakuliah', 'sesi', 'enrolmenkelas']","['mahasiswa', 'sesi', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'fakultas', 'keanggotaanklub', 'jurusan', 'kelas', 'dosen', 'organisasiklub']",0.6666666666666666,0.5
Which faculty uses the most facilities? I need the faculty name (nama) and the number of facilities used (total_fasilitas).,"['fakultas', 'fasilitasfakultas']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.09090909090909094
Which course has the best average exam score? Show me the title (judul) and the average score (rata_rata_nilai).,"['matakuliah', 'hasilujian', 'ujian']","['sesi', 'bukuperpustakaan', 'fakultas', 'keanggotaanklub', 'ujian', 'mahasiswa', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'dosen', 'publikasi', 'partisipasipenelitian', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.2727272727272727
Who is the lecturer with the most publications? Just show their name (nama) and how many they’ve authored (total_publikasi).,"['publikasi', 'penulispublikasi', 'dosen']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'ujian', 'penulispublikasi', 'keanggotaanklub', 'fakultas', 'fasilitas', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.13636363636363635
Which student has joined the most research projects? I need their name (nama) and the total number (total_partisipasi).,"['partisipasipenelitian', 'mahasiswa']","['sesi', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'jurusan', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'hasilujian']",1.0,0.2272727272727273
"Who’s borrowed the most books among students, if tie show smallest student id? Please show the ID (id_peminjam) and total borrow count (total_peminjaman).","['mahasiswa', 'peminjamanbuku']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
Which club has the most members? Show the name (nama) and total members (total_anggota).,"['keanggotaanklub', 'organisasiklub']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'ujian', 'fasilitas', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.09090909090909094
"Which student has the highest exam score total? I want to see id_mahasiswa, nama, and total_score.","['mahasiswa', 'hasilujian']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.045454545454545414
"Can you list all faculties and show how many research projects, publications, and active lecturers each has? Show nama, total_proyek, total_publikasi, total_dosen_aktif.","['dosen', 'fakultas', 'proyekpenelitian', 'penulispublikasi', 'publikasi']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'penulispublikasi', 'keanggotaanklub', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which lecturer has taught the most different subjects? Show me their id_dosen, nama, and how many subjects (total_mk_diajar).","['matakuliah', 'sesi', 'dosen']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Who are the top 3 students with the best total participation scores? I want id_mahasiswa, nama, and total_partisipasi.","['mahasiswa', 'enrolmenkelas']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
"Which students joined more than 2 projects and are in a club? Show id_mahasiswa, nama, total_proyek, and total_klub.","['partisipasipenelitian', 'mahasiswa', 'keanggotaanklub']","['sesi', 'bukuperpustakaan', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'penulispublikasi', 'ujian', 'fasilitas', 'nilai', 'mahasiswa', 'fasilitasfakultas', 'proyekpenelitian', 'catatankehadiran', 'matakuliah', 'jurusan', 'kelas', 'partisipasipenelitian', 'publikasi', 'dosen', 'organisasiklub', 'peminjamanbuku', 'hasilujian']",1.0,0.0
