prompt,tables_used,predicted_tables,schema_accuracy,schema_reduction
Can you tell me which faculty did the most research projects? I just need their name (nama) and the number of projects (total_proyek).,"['fakultas', 'proyekpenelitian']","['jurusan', 'dosen', 'fakultas', 'publikasi', 'partisipasipenelitian', 'mahasiswa', 'proyekpenelitian']",1.0,0.6818181818181819
I’m curious which lecturer guides the most students. Please show their name (nama) and how many students they supervise (total_mahasiswa_dibimbing).,"['mahasiswa', 'dosen']","['organisasiklub', 'jurusan', 'dosen', 'fakultas', 'proyekpenelitian', 'catatankehadiran', 'keanggotaanklub', 'partisipasipenelitian', 'mahasiswa', 'sesi']",1.0,0.5454545454545454
Which student joined the most sessions? I want to see their name (nama) and how many sessions they attended (total_kehadiran).,"['mahasiswa', 'catatankehadiran']","['organisasiklub', 'jurusan', 'dosen', 'matakuliah', 'fakultas', 'publikasi', 'keanggotaanklub', 'partisipasipenelitian', 'mahasiswa', 'enrolmenkelas', 'proyekpenelitian', 'sesi']",0.5,0.4545454545454546
What are the top 5 most popular courses? Show me the course title (judul) and how many students joined (total_mahasiswa).,"['matakuliah', 'sesi', 'enrolmenkelas']","['organisasiklub', 'jurusan', 'dosen', 'matakuliah', 'fakultas', 'kelas', 'catatankehadiran', 'keanggotaanklub', 'mahasiswa', 'sesi']",0.6666666666666666,0.5454545454545454
Which faculty uses the most facilities? I need the faculty name (nama) and the number of facilities used (total_fasilitas).,"['fakultas', 'fasilitasfakultas']","['organisasiklub', 'jurusan', 'fasilitasfakultas', 'dosen', 'fakultas', 'fasilitas', 'keanggotaanklub', 'mahasiswa']",1.0,0.6363636363636364
Which course has the best average exam score? Show me the title (judul) and the average score (rata_rata_nilai).,"['matakuliah', 'hasilujian', 'ujian']","['organisasiklub', 'peminjamanbuku', 'jurusan', 'dosen', 'bukuperpustakaan', 'fakultas', 'keanggotaanklub', 'mahasiswa']",0.0,0.6363636363636364
Who is the lecturer with the most publications? Just show their name (nama) and how many they’ve authored (total_publikasi).,"['publikasi', 'penulispublikasi', 'dosen']","['organisasiklub', 'dosen', 'fakultas', 'catatankehadiran', 'publikasi', 'partisipasipenelitian', 'mahasiswa', 'penulispublikasi', 'proyekpenelitian', 'sesi']",1.0,0.5454545454545454
Which student has joined the most research projects? I need their name (nama) and the total number (total_partisipasi).,"['partisipasipenelitian', 'mahasiswa']","['jurusan', 'dosen', 'fakultas', 'catatankehadiran', 'partisipasipenelitian', 'mahasiswa', 'enrolmenkelas', 'proyekpenelitian', 'sesi']",1.0,0.5909090909090908
"Who’s borrowed the most books among students, if tie show smallest student id? Please show the ID (id_peminjam) and total borrow count (total_peminjaman).","['mahasiswa', 'peminjamanbuku']","['organisasiklub', 'peminjamanbuku', 'jurusan', 'ujian', 'bukuperpustakaan', 'dosen', 'fakultas', 'keanggotaanklub', 'mahasiswa', 'hasilujian']",1.0,0.5454545454545454
Which club has the most members? Show the name (nama) and total members (total_anggota).,"['keanggotaanklub', 'organisasiklub']","['organisasiklub', 'peminjamanbuku', 'jurusan', 'bukuperpustakaan', 'dosen', 'fakultas', 'keanggotaanklub', 'mahasiswa']",1.0,0.6363636363636364
